state,sex,min_age,max_age,population
Tennessee,M,15,19.0,217569
Texas,M,15,19.0,1038995
Utah,M,15,19.0,126958
Vermont,M,15,19.0,21609
Virginia,M,15,19.0,275429
Washington,M,15,19.0,228901
West Virginia,M,15,19.0,55419
Wisconsin,M,15,19.0,193230
Wyoming,M,15,19.0,18934
Alabama,F,15,19.0,155697
Alaska,F,15,19.0,21956
Arizona,F,15,19.0,231635
Arkansas,F,15,19.0,96352
California,F,15,19.0,1245863
Colorado,F,15,19.0,176272
Connecticut,F,15,19.0,118377
Delaware,F,15,19.0,29783
District of Columbia,F,15,19.0,19365
Florida,F,15,19.0,588946
Georgia,F,15,19.0,357658
Hawaii,F,15,19.0,37345
Idaho,F,15,19.0,60898
Illinois,F,15,19.0,405044
Indiana,F,15,19.0,222229
Iowa,F,15,19.0,104650
Kansas,F,15,19.0,96791
Kentucky,F,15,19.0,139727
Louisiana,F,15,19.0,145107
Maine,F,15,19.0,37608
Maryland,F,15,19.0,187101
Massachusetts,F,15,19.0,226640
Michigan,F,15,19.0,320027
Minnesota,F,15,19.0,175152
Mississippi,F,15,19.0,100890
Missouri,F,15,19.0,190464
Montana,F,15,19.0,30787
Nebraska,F,15,19.0,64349
Nevada,F,15,19.0,87691
New Hampshire,F,15,19.0,41864
New Jersey,F,15,19.0,271905
New Mexico,F,15,19.0,68125
New York,F,15,19.0,584413
North Carolina,F,15,19.0,336190
North Dakota,F,15,19.0,22718
Ohio,F,15,19.0,371956
Oklahoma,F,15,19.0,128203
Oregon,F,15,19.0,120144
Pennsylvania,F,15,19.0,397138
Rhode Island,F,15,19.0,35887
South Carolina,F,15,19.0,158474
South Dakota,F,15,19.0,27707
Tennessee,F,15,19.0,207756
Texas,F,15,19.0,993348
Utah,F,15,19.0,122027
Vermont,F,15,19.0,20676
Virginia,F,15,19.0,266855
Washington,F,15,19.0,218148
West Virginia,F,15,19.0,51808
Wisconsin,F,15,19.0,185188
Wyoming,F,15,19.0,17379
Alabama,M,20,24.0,163656
Alaska,M,20,24.0,30355
Arizona,M,20,24.0,256152
Arkansas,M,20,24.0,102670
California,M,20,24.0,1395963
Colorado,M,20,24.0,198446
Connecticut,M,20,24.0,125168
Delaware,M,20,24.0,29692
District of Columbia,M,20,24.0,23793
Florida,M,20,24.0,649654
Georgia,M,20,24.0,364179
Hawaii,M,20,24.0,50160
Idaho,M,20,24.0,60225
Illinois,M,20,24.0,430577
Indiana,M,20,24.0,241365
Iowa,M,20,24.0,117694
Kansas,M,20,24.0,111211
Kentucky,M,20,24.0,156446
Louisiana,M,20,24.0,157118
Maine,M,20,24.0,38276
Maryland,M,20,24.0,191893
Massachusetts,M,20,24.0,245788
Michigan,M,20,24.0,354949
Minnesota,M,20,24.0,182295
Mississippi,M,20,24.0,104739
Missouri,M,20,24.0,209039
Montana,M,20,24.0,38226
Nebraska,M,20,24.0,70119
Nevada,M,20,24.0,93201
New Hampshire,M,20,24.0,45935
New Jersey,M,20,24.0,279918
New Mexico,M,20,24.0,73801
New York,M,20,24.0,651432
North Carolina,M,20,24.0,361197
North Dakota,M,20,24.0,33669
Ohio,M,20,24.0,385682
Oklahoma,M,20,24.0,142622
Oregon,M,20,24.0,135675
Pennsylvania,M,20,24.0,413748
Rhode Island,M,20,24.0,38616
South Carolina,M,20,24.0,171381
South Dakota,M,20,24.0,30977
Tennessee,M,20,24.0,225334
Texas,M,20,24.0,1030026
Utah,M,20,24.0,134051
Vermont,M,20,24.0,23754
Virginia,M,20,24.0,300165
Washington,M,20,24.0,251031
West Virginia,M,20,24.0,58367
Wisconsin,M,20,24.0,201013
Wyoming,M,20,24.0,20104
Alabama,F,20,24.0,161564
Alaska,F,20,24.0,22645
Arizona,F,20,24.0,236024
Arkansas,F,20,24.0,98968
California,F,20,24.0,1315837
Colorado,F,20,24.0,180068
Connecticut,F,20,24.0,117948
Delaware,F,20,24.0,28657
District of Columbia,F,20,24.0,29131
Florida,F,20,24.0,620169
Georgia,F,20,24.0,352473
Hawaii,F,20,24.0,40791
Idaho,F,20,24.0,54669
Illinois,F,20,24.0,416925
Indiana,F,20,24.0,229849
Iowa,F,20,24.0,110084
Kansas,F,20,24.0,101809
Kentucky,F,20,24.0,145084
Louisiana,F,20,24.0,152190
Maine,F,20,24.0,36748
Maryland,F,20,24.0,184657
Massachusetts,F,20,24.0,248279
Michigan,F,20,24.0,339678
Minnesota,F,20,24.0,177770
Mississippi,F,20,24.0,102022
Missouri,F,20,24.0,200189
Montana,F,20,24.0,34287
Nebraska,F,20,24.0,67061
Nevada,F,20,24.0,88863
New Hampshire,F,20,24.0,43747
New Jersey,F,20,24.0,271112
New Mexico,F,20,24.0,67746
New York,F,20,24.0,650906
North Carolina,F,20,24.0,336674
North Dakota,F,20,24.0,29910
Ohio,F,20,24.0,373220
Oklahoma,F,20,24.0,131068
Oregon,F,20,24.0,130098
Pennsylvania,F,20,24.0,401301
Rhode Island,F,20,24.0,38000
South Carolina,F,20,24.0,160693
South Dakota,F,20,24.0,28608
Tennessee,F,20,24.0,220323
Texas,F,20,24.0,968517
Utah,F,20,24.0,126855
Vermont,F,20,24.0,22439
Virginia,F,20,24.0,278647
Washington,F,20,24.0,230232
West Virginia,F,20,24.0,54727
Wisconsin,F,20,24.0,194908
Wyoming,F,20,24.0,17862
Alabama,M,25,29.0,169352
Alaska,M,25,29.0,33104
Arizona,M,25,29.0,269123
Arkansas,M,25,29.0,103979
California,M,25,29.0,1615551
Colorado,M,25,29.0,237618
Connecticut,M,25,29.0,115760
Delaware,M,25,29.0,33770
District of Columbia,M,25,29.0,38651
Florida,M,25,29.0,732779
Georgia,M,25,29.0,383982
Hawaii,M,25,29.0,54937
Idaho,M,25,29.0,61213
Illinois,M,25,29.0,458281
Indiana,M,25,29.0,232362
Iowa,M,25,29.0,105389
Kansas,M,25,29.0,101801
Kentucky,M,25,29.0,158075
Louisiana,M,25,29.0,172144
Maine,M,25,29.0,40869
Maryland,M,25,29.0,210517
Massachusetts,M,25,29.0,256576
Michigan,M,25,29.0,355691
Minnesota,M,25,29.0,193546
Mississippi,M,25,29.0,104912
Missouri,M,25,29.0,215712
Montana,M,25,29.0,36872
Nebraska,M,25,29.0,66628
Nevada,M,25,29.0,115550
New Hampshire,M,25,29.0,44995
New Jersey,M,25,29.0,298333
New Mexico,M,25,29.0,75744
New York,M,25,29.0,744482
North Carolina,M,25,29.0,366599
North Dakota,M,25,29.0,33240
Ohio,M,25,29.0,408087
Oklahoma,M,25,29.0,142960
Oregon,M,25,29.0,154497
Pennsylvania,M,25,29.0,445252
Rhode Island,M,25,29.0,39169
South Carolina,M,25,29.0,175861
South Dakota,M,25,29.0,31012
Tennessee,M,25,29.0,246254
Texas,M,25,29.0,1104087
Utah,M,25,29.0,126977
Vermont,M,25,29.0,19350
Virginia,M,25,29.0,307824
Washington,M,25,29.0,307356
West Virginia,M,25,29.0,58373
Wisconsin,M,25,29.0,193420
Wyoming,M,25,29.0,20222
Alabama,F,25,29.0,170662
Alaska,F,25,29.0,28568
Arizona,F,25,29.0,248857
Arkansas,F,25,29.0,102518
California,F,25,29.0,1510265
Colorado,F,25,29.0,216289
Connecticut,F,25,29.0,107163
Delaware,F,25,29.0,33210
District of Columbia,F,25,29.0,44445
Florida,F,25,29.0,703698
Georgia,F,25,29.0,383763
Hawaii,F,25,29.0,49040
Idaho,F,25,29.0,57963
Illinois,F,25,29.0,445499
Indiana,F,25,29.0,226497
Iowa,F,25,29.0,98897
Kansas,F,25,29.0,93234
Kentucky,F,25,29.0,152251
Louisiana,F,25,29.0,171675
Maine,F,25,29.0,39772
Maryland,F,25,29.0,207917
Massachusetts,F,25,29.0,251284
Michigan,F,25,29.0,338763
Minnesota,F,25,29.0,182988
Mississippi,F,25,29.0,104499
Missouri,F,25,29.0,210856
Montana,F,25,29.0,34248
Nebraska,F,25,29.0,61847
Nevada,F,25,29.0,111914
New Hampshire,F,25,29.0,40849
New Jersey,F,25,29.0,284720
New Mexico,F,25,29.0,69943
New York,F,25,29.0,741095
North Carolina,F,25,29.0,361963
North Dakota,F,25,29.0,27913
Ohio,F,25,29.0,398799
Oklahoma,F,25,29.0,137889
Oregon,F,25,29.0,148247
Pennsylvania,F,25,29.0,425496
Rhode Island,F,25,29.0,37200
South Carolina,F,25,29.0,178590
South Dakota,F,25,29.0,27742
Tennessee,F,25,29.0,246210
Texas,F,25,29.0,1055720
Utah,F,25,29.0,120254
Vermont,F,25,29.0,18183
Virginia,F,25,29.0,296362
Washington,F,25,29.0,282248
West Virginia,F,25,29.0,55241
Wisconsin,F,25,29.0,181015
Wyoming,F,25,29.0,18657
Alabama,M,30,34.0,148045
Alaska,M,30,34.0,29998
Arizona,M,30,34.0,242241
Arkansas,M,30,34.0,95103
California,M,30,34.0,1503731
Colorado,M,30,34.0,230112
Connecticut,M,30,34.0,111857
Delaware,M,30,34.0,30979
District of Columbia,M,30,34.0,38517
Florida,M,30,34.0,684545
Georgia,M,30,34.0,346660
Hawaii,M,30,34.0,50897
Idaho,M,30,34.0,56775
Illinois,M,30,34.0,437447
Indiana,M,30,34.0,209763
Iowa,M,30,34.0,98733
Kansas,M,30,34.0,95551
Kentucky,M,30,34.0,138875
Louisiana,M,30,34.0,161228
Maine,M,30,34.0,39973
Maryland,M,30,34.0,205130
Massachusetts,M,30,34.0,241501
Michigan,M,30,34.0,304543
Minnesota,M,30,34.0,195773
Mississippi,M,30,34.0,90429
Missouri,M,30,34.0,198463
Montana,M,30,34.0,33935
Nebraska,M,30,34.0,65337
Nevada,M,30,34.0,111732
New Hampshire,M,30,34.0,42401
New Jersey,M,30,34.0,289627
New Mexico,M,30,34.0,71014
New York,M,30,34.0,696990
North Carolina,M,30,34.0,326859
