,center,state,distance
373,San Diego,FL,3457.729222098515
374,San Diego,GA,3202.0334044966867
375,San Diego,HI,4078.0139130599723
376,San Diego,IA,2342.1951287682527
377,San Diego,ID,1263.8862730262797
378,San Diego,IL,2609.795644375526
379,San Diego,IN,2926.076140174443
380,San Diego,KS,1811.8011889193947
381,San Diego,KY,3021.4974971582246
382,San Diego,LA,2360.0244756140737
383,San Diego,MA,4122.258492295261
384,San Diego,MD,3685.7491909888145
385,San Diego,ME,4281.648482198485
386,San Diego,MI,3003.040817334372
387,San Diego,MN,2448.995217998304
388,San Diego,MO,2358.5965184117595
389,San Diego,MS,2595.4554253535616
390,San Diego,MT,1661.5003790255168
391,San Diego,NC,3500.600883688181
392,San Diego,ND,2125.0583874138883
393,San Diego,NE,1800.89405986924
394,San Diego,NH,4106.812172911973
395,San Diego,NJ,3874.065045334783
396,San Diego,NM,1142.021832929692
397,San Diego,NV,665.091033588643
398,San Diego,NY,3892.3972745752153
399,San Diego,OH,3151.9901107481455
400,San Diego,OK,1864.292349439343
401,San Diego,OR,1253.7228192117145
402,San Diego,PA,3637.937861809215
403,San Diego,PR,5277.086552832844
404,San Diego,RI,4116.0574397886285
405,San Diego,SC,3332.1408902437583
406,San Diego,SD,1939.6624031767315
407,San Diego,TN,2819.9264054068394
408,San Diego,TX,1620.8993660266651
409,San Diego,UT,900.876087879517
410,San Diego,VA,3517.8445525194907
411,San Diego,VT,4031.1429766438773
412,San Diego,WA,1684.0938933606853
413,San Diego,WI,2741.30676459091
414,San Diego,WV,3355.6952128602065
415,San Diego,WY,1425.4515026659753
416,Dallas,AK,5210.645306059631
417,Dallas,AL,927.5178670156018
418,Dallas,AR,528.1605336162668
419,Dallas,AZ,1338.7349806749958
420,Dallas,CA,2114.49407216999
421,Dallas,CO,1103.4299575923044
422,Dallas,CT,2308.1835806549643
423,Dallas,DC,1902.2659450264264
424,Dallas,DE,2029.179102151439
425,Dallas,FL,1572.3300475263106
426,Dallas,GA,1303.7118562775483
427,Dallas,HI,5975.068332503125
428,Dallas,IA,1058.9976946257586
429,Dallas,ID,1999.764073289958
430,Dallas,IL,1089.9576486499514
431,Dallas,IN,1315.9321699766201
432,Dallas,KS,707.1097286284236
433,Dallas,KY,1265.1856036626546
434,Dallas,LA,469.0551366574583
435,Dallas,MA,2469.6166788545697
436,Dallas,MD,1939.0813189217695
437,Dallas,ME,2720.718353569429
438,Dallas,MI,1603.7472920815435
439,Dallas,MN,1557.3558566212978
440,Dallas,MO,727.7732677259672
441,Dallas,MS,693.3439561223548
442,Dallas,MT,1943.3881433957272
443,Dallas,NC,1664.4694781419803
444,Dallas,ND,1677.2350929249362
445,Dallas,NE,1004.572388569389
446,Dallas,NH,2482.2126074294747
447,Dallas,NJ,2153.625959911804
448,Dallas,NM,801.7322271088551
449,Dallas,NV,1892.7570028982009
450,Dallas,NY,2286.0994005940074
451,Dallas,OH,1498.1107025965787
452,Dallas,OK,247.41014792125497
453,Dallas,OR,2400.263089442771
454,Dallas,PA,1969.853744276199
455,Dallas,PR,3418.3062558217
456,Dallas,RI,2436.2891184907494
457,Dallas,SC,1456.038057344888
458,Dallas,SD,1270.1646673548382
459,Dallas,TN,986.0590117900404
460,Dallas,TX,308.96173884137676
461,Dallas,UT,1477.6081528812676
462,Dallas,VA,1725.910078581414
463,Dallas,VT,2462.584592502929
464,Dallas,WA,2610.736642746396
465,Dallas,WI,1403.8740770269121
466,Dallas,WV,1607.5533855302265
467,Dallas,WY,1466.6565625608719
468,Honolulu,AK,4687.4249521797765
469,Honolulu,AL,7040.153831343906
470,Honolulu,AR,6545.205556759526
471,Honolulu,AZ,4782.770819936764
472,Honolulu,CA,4083.0027868378756
473,Honolulu,CO,5312.010642124324
474,Honolulu,CT,8046.450196606083
475,Honolulu,DC,7784.26501646872
476,Honolulu,DE,7911.734909439309
477,Honolulu,FL,7654.213983351289
478,Honolulu,GA,7413.57645066676
479,Honolulu,HI,296.0193841194843
480,Honolulu,IA,6394.27374553157
481,Honolulu,ID,4687.820982300914
482,Honolulu,IL,6709.463511541665
483,Honolulu,IN,7030.362792840858
484,Honolulu,KS,5936.681969442745
485,Honolulu,KY,7182.47317716983
486,Honolulu,LA,6567.211182767978
487,Honolulu,MA,8162.458473081084
488,Honolulu,MD,7814.276844808843
489,Honolulu,ME,8234.936254471273
490,Honolulu,MI,6992.245112448429
491,Honolulu,MN,6281.188120667316
492,Honolulu,MO,6519.874976183598
493,Honolulu,MS,6807.406735004165
494,Honolulu,MT,5107.931968442898
495,Honolulu,NC,7684.317563009714
496,Honolulu,ND,5815.277196899385
497,Honolulu,NE,5826.99995812036
498,Honolulu,NH,8126.27105292753
499,Honolulu,NJ,7977.370012967129
500,Honolulu,NM,5343.890365374721
501,Honolulu,NV,4392.825531491144
502,Honolulu,NY,7914.260798273852
503,Honolulu,OH,7258.979373226159
504,Honolulu,OK,6068.4777728409845
505,Honolulu,OR,4241.111471621218
506,Honolulu,PA,7720.130668872455
507,Honolulu,PR,9427.727635159263
508,Honolulu,RI,8177.431478479298
509,Honolulu,SC,7535.872117843417
510,Honolulu,SD,5849.166553312036
511,Honolulu,TN,7014.836788277499
512,Honolulu,TX,5826.965622408565
513,Honolulu,UT,4855.731136462717
514,Honolulu,VA,7678.235771724904
515,Honolulu,VT,8012.798085986847
516,Honolulu,WA,4419.360893229701
517,Honolulu,WI,6740.8462835264345
518,Honolulu,WV,7498.851863665951
519,Honolulu,WY,5244.029726914962
520,San Jose,AK,3650.6611432519862
521,San Jose,AL,3226.1067366710704
522,San Jose,AR,2696.4216577281068
523,San Jose,AZ,1037.4655962306351
524,San Jose,CA,223.74988694093685
525,San Jose,CO,1422.8969181056918
526,San Jose,CT,4168.07358095688
527,San Jose,DC,3894.76887427592
528,San Jose,DE,4022.352865595682
529,San Jose,FL,3906.5171970908177
530,San Jose,GA,3586.21956490264
531,San Jose,HI,3798.2254399199787
532,San Jose,IA,2509.0093434048067
533,San Jose,ID,961.2742206070257
534,San Jose,IL,2820.286193836129
535,San Jose,IN,3141.4197443944686
536,San Jose,KS,2050.803001342348
537,San Jose,KY,3297.5063617214255
538,San Jose,LA,2803.929940066994
539,San Jose,MA,4291.892149682877
540,San Jose,MD,3924.8604265124577
541,San Jose,ME,4398.513771332198
542,San Jose,MI,3128.362736552102
543,San Jose,MN,2465.0257146331987
544,San Jose,MO,2638.943308662132
545,San Jose,MS,3003.4366808273935
546,San Jose,MT,1423.4932791429057
547,San Jose,NC,3806.3198941211176
548,San Jose,ND,2048.6731658978274
549,San Jose,NE,1941.0496098906826
550,San Jose,NH,4262.445366875373
551,San Jose,NJ,4090.5797652127967
552,San Jose,NM,1533.2132084442653
553,San Jose,NV,504.6433623005123
554,San Jose,NY,4048.0429568102745
555,San Jose,OH,3370.2212718714372
556,San Jose,OK,2235.627017336425
557,San Jose,OR,730.4392363518685
558,San Jose,PA,3836.243197656988
559,San Jose,PR,5752.83275928127
560,San Jose,RI,4300.599520444248
561,San Jose,SC,3679.6958976998512
562,San Jose,SD,1991.1480205425041
563,San Jose,TN,3151.1594005060706
564,San Jose,TX,2091.803994921364
565,San Jose,UT,966.2281226891319
566,San Jose,VA,3791.4569420735575
567,San Jose,VT,4162.278948398534
568,San Jose,WA,1164.4244297876166
569,San Jose,WI,2870.8374012420622
570,San Jose,WV,3609.915890622493
571,San Jose,WY,1393.0092500898986
572,Jacksonville,AK,5984.6938870485355
573,Jacksonville,AL,922.4452502245244
574,Jacksonville,AR,1318.2863703556618
575,Jacksonville,AZ,3085.2113874793886
576,Jacksonville,CA,3776.799729486262
577,Jacksonville,CO,2566.77999006577
578,Jacksonville,CT,850.5874961579356
579,Jacksonville,DC,464.2044674446503
580,Jacksonville,DE,492.61669781736447
581,Jacksonville,FL,876.331817090915
582,Jacksonville,GA,586.6073409000372
583,Jacksonville,HI,7734.720325171633
584,Jacksonville,IA,1582.333900851546
585,Jacksonville,ID,3347.018483332611
586,Jacksonville,IL,1243.2156104781789
587,Jacksonville,IN,969.5765535431185
588,Jacksonville,KS,1934.4533633187225
589,Jacksonville,KY,706.9970822144325
590,Jacksonville,LA,1430.288498635849
591,Jacksonville,MA,999.4935120054097
592,Jacksonville,MD,483.2881884646026
593,Jacksonville,ME,1349.515362003561
594,Jacksonville,MI,1275.0769816489214
595,Jacksonville,MN,1968.7778267453336
596,Jacksonville,MO,1342.9926817041273
597,Jacksonville,MS,1144.8169420145564
598,Jacksonville,MT,3061.2631714920312
599,Jacksonville,NC,186.5926260807014
600,Jacksonville,ND,2424.0621839633513
601,Jacksonville,NE,2103.9524864812197
602,Jacksonville,NH,1065.5782945986077
603,Jacksonville,NJ,647.4837335010369
604,Jacksonville,NM,2519.4676292227446
605,Jacksonville,NV,3486.714043328796
606,Jacksonville,NY,989.7943926082262
607,Jacksonville,OH,796.5412930595654
608,Jacksonville,OK,1798.3292880464696
609,Jacksonville,OR,3811.6988343049784
610,Jacksonville,PA,718.3844929981828
611,Jacksonville,PR,2119.73263926811
612,Jacksonville,RI,919.5794878359383
613,Jacksonville,SC,360.9489321012047
614,Jacksonville,SD,2184.2254727402633
615,Jacksonville,TN,841.4242803742052
616,Jacksonville,TX,2112.737657799946
617,Jacksonville,UT,3023.4913259440664
618,Jacksonville,VA,320.25351985809186
619,Jacksonville,VT,1166.0937897596734
620,Jacksonville,WA,3850.133255915952
621,Jacksonville,WI,1403.3334817634457
622,Jacksonville,WV,508.581641540413
623,Jacksonville,WY,2736.0943235330246
624,Indianapolis,AK,5087.239415181985
625,Indianapolis,AL,830.4337875089403
626,Indianapolis,AR,714.4021367342492
627,Indianapolis,AZ,2303.7124950702373
628,Indianapolis,CA,2913.4343817484655
629,Indianapolis,CO,1681.8222410833803
630,Indianapolis,CT,1121.0921008595385
631,Indianapolis,DC,791.1400269354382
632,Indianapolis,DE,919.826850550536
633,Indianapolis,FL,1409.7759711436827
634,Indianapolis,GA,894.3323058608743
635,Indianapolis,HI,6895.7263846576125
636,Indianapolis,IA,630.8858816842549
637,Indianapolis,ID,2406.7185914993465
638,Indianapolis,IL,292.7668243965062
639,Indianapolis,IN,97.6268899271907
640,Indianapolis,KS,1065.415302590771
641,Indianapolis,KY,269.8385586553024
642,Indianapolis,LA,1091.2767967059367
643,Indianapolis,MA,1272.514554182556
644,Indianapolis,MD,822.1757465818328
645,Indianapolis,ME,1497.4817162259303
646,Indianapolis,MI,506.0243801912671
647,Indianapolis,MN,1036.8051079864028
